Kindly Rate your Sleep Quality 😴,How many times a week do you suffer headaches 🤕?,How would you rate you academic performance 👩‍🎓?,how would you rate your study load?,How many times a week you practice extracurricular activities 🎾?,How would you rate your stress levels?
0.5,0.0,0.5,0.75,0.25,0.5
0.75,0.0,0.25,0.5,0.5,0.25
0.25,0.0,0.25,0.0,0.75,0.75
0.5,0.25,0.5,0.25,0.5,0.5
0.25,0.5,0.0,1.0,1.0,0.5
0.5,0.0,0.5,0.25,0.0,0.0
0.5,1.0,0.0,0.75,0.5,1.0
0.75,0.5,0.0,0.75,0.0,0.0
0.25,0.0,0.75,0.75,1.0,0.0
0.0,0.25,0.5,0.25,1.0,0.25
0.25,0.5,1.0,1.0,0.25,0.75
0.5,0.0,1.0,0.0,0.75,0.0
0.25,0.5,0.5,0.75,0.75,0.5
0.75,0.0,0.75,0.75,0.0,0.0
0.75,0.0,0.5,0.25,1.0,0.25
0.25,0.5,0.5,1.0,0.5,0.75
0.5,0.0,0.5,0.5,0.5,0.75
0.0,0.0,0.0,0.0,0.0,0.25
0.25,0.0,0.5,0.0,0.25,0.5
0.25,0.5,0.5,0.25,0.5,0.75
0.5,0.75,0.25,0.25,0.0,0.25
0.5,0.5,0.75,0.75,0.5,0.5
0.25,0.0,0.25,0.5,0.25,0.25
0.5,0.0,0.75,0.75,0.25,0.5
1.0,0.0,0.75,0.25,0.0,0.0
0.5,0.0,0.5,0.25,0.25,0.0
1.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,0.0,0.0
0.25,0.5,0.5,0.0,0.0,0.25
0.5,0.75,0.25,0.0,0.5,0.0
1.0,0.0,0.5,1.0,1.0,1.0
1.0,0.25,0.5,0.25,0.5,0.75
1.0,1.0,0.75,1.0,0.25,1.0
0.25,0.5,0.75,0.0,0.25,0.25
0.75,0.0,1.0,0.75,1.0,0.25
1.0,0.0,0.75,0.5,0.25,1.0
0.75,0.0,0.0,0.25,0.75,1.0
0.5,0.25,0.5,0.0,0.0,0.5
0.5,0.75,0.75,1.0,0.5,0.0
0.5,0.0,0.75,0.75,0.75,0.5
0.75,0.75,0.5,0.25,0.25,0.25
0.75,0.0,0.75,1.0,0.0,1.0
0.75,0.25,0.5,0.5,1.0,0.75
0.25,0.0,0.75,0.75,0.0,0.5
1.0,0.0,0.75,1.0,0.75,1.0
0.75,0.0,0.5,0.25,1.0,0.75
0.25,0.0,0.75,0.75,0.0,0.75
0.75,0.5,0.5,0.25,0.25,0.25
0.5,0.5,0.75,0.75,0.75,0.5
0.0,0.0,0.0,0.25,0.5,0.0
1.0,0.0,1.0,0.0,0.5,0.5
0.0,0.0,1.0,0.0,1.0,0.0
0.5,0.25,0.5,0.25,1.0,0.25
0.5,0.0,0.75,0.5,0.0,0.5
0.25,0.5,0.75,0.25,0.5,0.25
0.5,0.25,0.75,1.0,0.75,1.0
0.5,0.0,0.5,0.5,0.5,0.5
0.5,0.25,0.75,0.5,0.5,0.5
1.0,0.25,0.75,0.75,0.75,0.25
0.75,0.0,0.75,0.5,0.5,0.0
1.0,0.25,0.5,0.0,0.0,0.75
0.5,0.25,1.0,0.75,0.25,0.75
0.75,0.5,0.5,0.75,0.25,0.25
0.5,0.75,0.5,1.0,1.0,1.0
0.75,0.5,0.25,0.25,0.75,0.0
0.0,0.5,0.5,0.25,0.25,0.75
0.5,0.5,1.0,0.5,0.75,0.0
0.75,0.0,1.0,0.5,0.25,0.5
0.25,1.0,0.25,0.0,0.25,0.0
0.5,1.0,0.25,0.0,0.0,0.0
0.5,0.0,0.75,0.0,0.0,0.75
0.25,0.0,0.75,0.5,0.0,0.25
0.75,0.0,0.5,0.0,0.0,0.75
0.75,0.25,1.0,0.0,1.0,0.0
0.5,1.0,0.5,0.25,0.5,1.0
0.75,0.0,0.5,0.25,0.0,0.75
0.25,0.5,0.75,0.25,1.0,0.5
0.5,0.25,0.5,0.75,0.0,1.0
0.75,0.25,0.75,0.5,1.0,0.5
0.25,0.75,0.5,0.75,1.0,0.75
0.75,0.5,1.0,0.25,0.0,0.5
0.5,0.0,0.5,0.0,0.25,0.25
0.0,0.25,0.5,0.5,0.0,0.75
0.5,0.5,0.0,0.0,0.0,0.0
0.25,0.0,0.25,0.75,0.5,0.5
0.75,0.25,0.5,0.5,0.0,0.75
0.25,0.5,0.5,0.25,1.0,0.25
0.75,0.75,0.25,0.5,0.0,0.5
0.5,0.25,0.75,1.0,0.0,1.0
0.0,0.5,0.25,0.25,0.0,0.0
0.25,0.25,0.25,0.75,0.25,0.5
0.5,0.25,0.5,0.0,0.0,1.0
0.5,0.0,0.75,0.25,0.0,0.5
0.75,0.0,0.75,0.0,0.0,0.25
1.0,1.0,0.5,0.0,0.0,0.0
0.5,0.0,0.75,0.75,0.5,0.5
0.75,0.5,0.75,0.75,0.5,1.0
0.5,0.25,0.75,0.25,0.5,0.75
0.5,0.25,0.5,1.0,0.75,0.5
0.5,0.25,0.75,0.25,0.5,0.0
0.25,0.75,0.5,0.25,0.0,0.25
0.25,0.5,1.0,0.0,1.0,0.25
0.5,0.75,0.5,1.0,0.25,1.0
1.0,0.0,1.0,1.0,1.0,0.75
