date,time,stress_score,stress_level
2026-08-26,18:50:17,50,Moderate
2026-08-26,18:57:29,50.0,Moderate
2026-08-26,19:08:49,46.0,Moderate
2026-08-29,09:27:02,62.0,Moderate
2026-08-29,09:53:15,58.0,Moderate
2026-08-29,10:55:26,64.0,Moderate
2026-08-29,11:03:30,58.0,Moderate
2026-09-02,20:31:10,68.0,High
2026-09-03,21:42:46,46.0,Moderate
2026-09-04,10:56:23,68.0,High
2026-09-04,20:58:27,58.0,Moderate
2026-09-04,20:59:46,59.0,Moderate
2026-09-04,21:04:37,62.0,Moderate
2026-09-04,21:07:40,61.0,Moderate
2026-09-04,21:08:46,18.0,Low
2026-09-04,21:10:59,16.0,Low
2026-09-04,21:26:48,62.0,Moderate
2026-09-04,22:16:06,56.0,Moderate
2026-09-04,22:17:42,18.0,Low
2026-09-05,06:26:07,38.0,Moderate
2026-09-05,06:29:55,16.0,Low
2026-09-05,07:36:43,42.0,Moderate
2026-09-05,07:47:56,34.0,Moderate
2026-09-05,08:08:07,50.0,Moderate
